transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud
1,202,3185.04,Online,Travel,UK,19,0.20955416599995152,0.27099419429890076,0
2,535,2776.3,QR,Electronics,DE,8,0.0,0.07906510082826987,0
3,960,459.56,ATM,Clothing,UK,21,0.26464099099899585,0.640750593634116,0
4,370,3633.35,QR,Food,DE,14,0.35364857747519995,0.3085124829885677,0
5,206,2739.49,Online,Clothing,UK,0,0.6058977058699774,0.42265582576664806,0
6,171,2257.3,POS,Clothing,FR,11,0.07527718229179775,0.15853683868883298,0
7,800,4552.8,QR,Electronics,US,2,0.0,0.03431851624833789,1
8,120,1493.31,ATM,Clothing,DE,10,0.5798102222953898,0.0,0
9,714,2620.39,Online,Clothing,TR,1,0.015565820423503351,0.5175928868086832,0
10,221,3489.72,QR,Grocery,US,15,0.0,0.0,0
11,566,3983.38,ATM,Electronics,TR,8,0.061737677902064,0.2775331169856629,0
12,314,2299.44,Online,Travel,US,14,0.27549043938909334,0.05137377429791148,0
13,430,4211.25,ATM,Food,US,11,0.16093616951443535,0.01571177292033719,0
14,558,3845.74,Online,Clothing,UK,0,0.2857729881850123,0.5202705917903073,0
15,187,335.85,POS,Food,DE,12,0.5448751539690434,0.2050799935881329,0
16,472,234.08,QR,Travel,DE,13,0.5047415177364081,0.19092572603415897,0
17,199,3105.92,ATM,Food,US,7,0.35720236810637895,0.14283969159512755,0
18,971,1740.33,Online,Travel,FR,7,0.37741980043231493,0.5648944053344227,0
19,763,1049.61,ATM,Grocery,FR,11,0.371031059655803,0.0,0
20,230,2900.35,ATM,Clothing,TR,0,0.23236209317416784,0.09305499351248434,0
21,761,1711.11,QR,Travel,TR,10,0.12053075822788292,0.0,0
22,408,2688.63,POS,Food,UK,7,0.5815898051720967,0.6380671017500421,1
23,869,2303.3,ATM,Clothing,US,9,0.5430016785839026,0.29361224127339597,0
24,443,2925.91,Online,Grocery,TR,18,0.0,0.01640516144406856,0
25,591,2004.5,Online,Clothing,TR,10,0.14061212516788446,0.23178758393793958,0
26,513,3489.85,POS,Travel,US,6,0.20376656941671162,0.3145557987412457,0
27,905,904.44,Online,Grocery,UK,10,0.480372138746421,0.5276528861241581,0
